time_step,clock_time,agent_id,agent_name,urgency_level,urgency_score,safety_assessment,fire_proximity,smoke_proximity,visibility_impact,time_since_awareness,primary_factors
0,08:00,0,Isabella Rodriguez,low,0.04000000000000001,safe,12,,normal,,
0,08:00,1,Klaus Mueller,low,0.06,safe,40,,normal,,
0,08:00,2,Haruka Tanaka,low,0.05,safe,16,,normal,,
0,08:00,3,Diego Morales,low,0.05,safe,16,,normal,,
1,08:00,0,Isabella Rodriguez,low,0.04000000000000001,safe,12,,normal,,
1,08:00,1,Klaus Mueller,low,0.06,safe,40,,normal,,
1,08:00,2,Haruka Tanaka,low,0.05,safe,16,,normal,,
1,08:00,3,Diego Morales,low,0.05,safe,16,,normal,,
2,08:01,0,Isabella Rodriguez,low,0.04000000000000001,safe,12,,normal,,
2,08:01,1,Klaus Mueller,low,0.06,safe,40,,normal,,
2,08:01,2,Haruka Tanaka,low,0.05,safe,16,,normal,,
2,08:01,3,Diego Morales,low,0.05,safe,16,,normal,,
3,08:02,0,Isabella Rodriguez,low,0.04000000000000001,safe,12,,normal,,
3,08:02,1,Klaus Mueller,low,0.06,safe,40,,normal,,
3,08:02,2,Haruka Tanaka,low,0.05,safe,16,,normal,,
3,08:02,3,Diego Morales,low,0.05,safe,16,,normal,,
4,08:02,0,Isabella Rodriguez,low,0.04000000000000001,safe,12,,normal,,
4,08:02,1,Klaus Mueller,low,0.06,safe,40,,normal,,
4,08:02,2,Haruka Tanaka,low,0.05,safe,16,,normal,,
4,08:02,3,Diego Morales,low,0.05,safe,16,,normal,,
5,08:03,0,Isabella Rodriguez,low,0.04000000000000001,safe,12,,normal,,
5,08:03,1,Klaus Mueller,low,0.06,safe,40,,normal,,
5,08:03,2,Haruka Tanaka,low,0.05,safe,16,,normal,,
5,08:03,3,Diego Morales,low,0.05,safe,16,,normal,,
6,08:04,0,Isabella Rodriguez,low,0.08000000000000002,safe,12,,normal,,
6,08:04,1,Klaus Mueller,low,0.12,safe,40,,normal,,
6,08:04,2,Haruka Tanaka,low,0.1,safe,16,,normal,,
6,08:04,3,Diego Morales,low,0.1,safe,16,,normal,,
7,08:04,0,Isabella Rodriguez,low,0.08000000000000002,safe,12,,normal,,
7,08:04,1,Klaus Mueller,low,0.12,safe,40,,normal,,
7,08:04,2,Haruka Tanaka,low,0.1,safe,16,,normal,,
7,08:04,3,Diego Morales,low,0.1,safe,16,,normal,,
8,08:05,0,Isabella Rodriguez,low,0.08000000000000002,safe,12,,normal,,
8,08:05,1,Klaus Mueller,low,0.12,safe,40,,normal,,
8,08:05,2,Haruka Tanaka,low,0.1,safe,16,,normal,,
8,08:05,3,Diego Morales,low,0.1,safe,16,,normal,,
9,08:06,0,Isabella Rodriguez,low,0.08000000000000002,safe,12,,normal,,
9,08:06,1,Klaus Mueller,low,0.12,safe,40,,normal,,
9,08:06,2,Haruka Tanaka,low,0.1,safe,16,,normal,,
9,08:06,3,Diego Morales,low,0.1,safe,16,,normal,,
10,08:06,0,Isabella Rodriguez,low,0.08000000000000002,safe,12,,normal,,
10,08:06,1,Klaus Mueller,low,0.12,safe,40,,normal,,
10,08:06,2,Haruka Tanaka,low,0.1,safe,16,,normal,,
10,08:06,3,Diego Morales,low,0.1,safe,16,,normal,,
11,08:07,0,Isabella Rodriguez,low,0.16000000000000003,safe,11,10,normal,,
11,08:07,1,Klaus Mueller,low,0.24,safe,40,39,normal,,
11,08:07,2,Haruka Tanaka,low,0.2,safe,15,14,normal,,
11,08:07,3,Diego Morales,low,0.2,safe,15,14,normal,,
12,08:08,0,Isabella Rodriguez,low,0.16000000000000003,safe,12,11,normal,,
12,08:08,1,Klaus Mueller,low,0.24,safe,40,39,normal,,
12,08:08,2,Haruka Tanaka,low,0.2,safe,16,15,normal,,
12,08:08,3,Diego Morales,low,0.2,safe,16,15,normal,,
13,08:08,0,Isabella Rodriguez,low,0.16000000000000003,safe,13,11,normal,,
13,08:08,1,Klaus Mueller,low,0.24,safe,40,38,normal,,
13,08:08,2,Haruka Tanaka,low,0.2,safe,17,15,normal,,
13,08:08,3,Diego Morales,low,0.2,safe,17,15,normal,,
14,08:09,0,Isabella Rodriguez,low,0.16000000000000003,safe,14,12,normal,,
14,08:09,1,Klaus Mueller,low,0.24,safe,40,38,normal,,
14,08:09,2,Haruka Tanaka,low,0.2,safe,18,16,normal,,
14,08:09,3,Diego Morales,low,0.2,safe,18,16,normal,,
15,08:10,0,Isabella Rodriguez,low,0.16000000000000003,safe,13,13,normal,,
15,08:10,1,Klaus Mueller,low,0.24,safe,38,38,normal,,
15,08:10,2,Haruka Tanaka,low,0.2,safe,17,17,normal,,
15,08:10,3,Diego Morales,low,0.2,safe,17,17,normal,,
16,08:10,0,Isabella Rodriguez,low,0.16000000000000003,safe,14,14,normal,,
16,08:10,1,Klaus Mueller,low,0.24,safe,38,38,normal,,
16,08:10,2,Haruka Tanaka,low,0.2,safe,18,18,normal,,
16,08:10,3,Diego Morales,low,0.2,safe,18,18,normal,,
