time_step,clock_time,agent_id,agent_name,urgency_level,urgency_score,safety_assessment,fire_proximity,smoke_proximity
0,08:00,0,Isabella Rodriguez,low,0.16000000000000003,safe,9,7
0,08:00,1,Klaus Mueller,low,0.24,safe,11,9
1,08:00,0,Isabella Rodriguez,low,0.16000000000000003,safe,8,6
1,08:00,1,Klaus Mueller,low,0.24,safe,10,8
2,08:01,0,Isabella Rodriguez,low,0.16000000000000003,safe,8,6
2,08:01,1,Klaus Mueller,low,0.24,safe,9,7
3,08:02,0,Isabella Rodriguez,low,0.16000000000000003,safe,8,6
3,08:02,1,Klaus Mueller,low,0.24,safe,8,6
4,08:02,0,Isabella Rodriguez,low,0.16000000000000003,safe,8,6
4,08:02,1,Klaus Mueller,low,0.24,safe,8,6
5,08:03,0,Isabella Rodriguez,low,0.16000000000000003,safe,8,6
5,08:03,1,Klaus Mueller,low,0.24,safe,9,7
6,08:04,0,Isabella Rodriguez,low,0.2,safe,8,6
6,08:04,1,Klaus Mueller,medium,0.3,at_risk,10,8
7,08:04,0,Isabella Rodriguez,low,0.2,safe,8,6
7,08:04,1,Klaus Mueller,medium,0.3,at_risk,11,9
8,08:05,0,Isabella Rodriguez,low,0.2,safe,8,6
8,08:05,1,Klaus Mueller,medium,0.3,at_risk,12,10
9,08:06,0,Isabella Rodriguez,low,0.2,safe,8,6
9,08:06,1,Klaus Mueller,medium,0.3,at_risk,11,9
10,08:06,0,Isabella Rodriguez,low,0.2,safe,8,6
10,08:06,1,Klaus Mueller,medium,0.3,at_risk,9,7
11,08:07,0,Isabella Rodriguez,low,0.24000000000000005,safe,9,7
11,08:07,1,Klaus Mueller,medium,0.36000000000000004,at_risk,11,9
12,08:08,0,Isabella Rodriguez,low,0.24000000000000005,safe,10,8
12,08:08,1,Klaus Mueller,medium,0.36000000000000004,at_risk,12,10
13,08:08,0,Isabella Rodriguez,low,0.24000000000000005,safe,9,7
13,08:08,1,Klaus Mueller,medium,0.3,at_risk,12,10
14,08:09,0,Isabella Rodriguez,low,0.24000000000000005,safe,9,7
14,08:09,1,Klaus Mueller,medium,0.3,at_risk,12,10
15,08:10,0,Isabella Rodriguez,low,0.24000000000000005,safe,9,7
15,08:10,1,Klaus Mueller,medium,0.3,at_risk,12,10
16,08:10,0,Isabella Rodriguez,low,0.24000000000000005,safe,9,7
16,08:10,1,Klaus Mueller,medium,0.3,at_risk,12,10
17,08:11,0,Isabella Rodriguez,low,0.24000000000000005,safe,9,7
17,08:11,1,Klaus Mueller,medium,0.3,at_risk,12,10
18,08:12,0,Isabella Rodriguez,low,0.24000000000000005,safe,9,7
18,08:12,1,Klaus Mueller,medium,0.3,at_risk,12,10
19,08:12,0,Isabella Rodriguez,low,0.24000000000000005,safe,9,7
19,08:12,1,Klaus Mueller,medium,0.3,at_risk,12,10
20,08:13,0,Isabella Rodriguez,low,0.24000000000000005,safe,9,7
20,08:13,1,Klaus Mueller,medium,0.3,at_risk,12,10
21,08:14,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
21,08:14,1,Klaus Mueller,medium,0.42,at_risk,11,9
22,08:14,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
